Index	Verb	Class number	Subclass	Example lemma	Stem	Regularity	Initial segment	Regular category	Affix	Translation	Transitivity
1792	maʃet͡snel	10	Basic	maʃe	modet͡snel	Regular	C	Causative	-t͡snel	To use up, to consume, to waste, to wear out, to cause to deteriorate, to make worse.	Transitive
1793	maʃil	4	Basic	maʃ	xosil	Regular	C	I-Class	-il	To be used, consumed, worn out, to fall, to pine, to dwindle away.	Intransitive
1794	masnakidanal	20		masnakida	niharnal	Regular	C	Inchoative	-nal		Intransitive
1795	masnagt͡sil	4	Basic	masnagt͡s	xosil	Regular	C	I-Class	-il	To take part in, to participate, to take a share, to partake of, to be party to.	Both
1796	masnadel	2		masnad	kaɣel	Regular	C	E-Class	-el		Transitive
1797	masnaworel	2		masnawor	kaɣel	Regular	C	E-Class	-el	To specify, to particularize; to give.	Transitive
1798	madagararel	2		madagarar	kaɣel	Regular	C	E-Class	-el	To administer, to manage, to cater, to officiate, to dispense, to provision.	Transitive
1799	madnaharel	2		madnahar	kaɣel	Regular	C	E-Class	-el		Transitive
1800	madnanʃel	2		madnanʃ	kaɣel	Regular	C	E-Class	-el		Transitive
1801	madnel	2		madn	kaɣel	Regular	C	E-Class	-el	To denounce, to betray, to deliver up.	Transitive
1802	madnvil	4	Passive	madn	zzvil	Regular	C	Passive	-vil	To be betrayed, to be denounced, to betray one's self.	Intransitive
1803	madut͡sanel	12		madut͡s	d͡zanut͡sanel	Archaic	C		-anel	To offer, to approach, to present, to dedicate, to advance, to sacrifice.	Transitive
1804	madut͡sel	2		madut͡s	kaɣel	Regular	C	E-Class	-el		Transitive
1805	madt͡ʃil	16		mad	gbt͡ʃil	Irregular	C		-t͡ʃil	To approach, to draw near, to gain access, to land, to accost, to come along, to go up to, to come alongside.	Intransitive
1806	madrvagel	2		madrvag	kaɣel	Regular	C	E-Class	-el	To cup, to wait on, to attend, to pour out, to pour forth.	Transitive
1807	markareanal	20		markarea	niharnal	Regular	C	Inchoative	-nal	To predict, to prophecy, to foretell.	Intransitive
1808	martanal	20		marta	niharnal	Regular	C	Inchoative	-nal	To grow, to become a man, to become incarnate, to take human flesh or nature.	Intransitive
1809	marel	2		mar	kaɣel	Regular	C	E-Class	-el	To put out, to extinguish, to quench, to appease, to slake, to soften.	Transitive
1810	marzel	2		marz	kaɣel	Regular	C	E-Class	-el	To train up, to exercise, to civilize, to instruct, to drill, to discipline, to form.	Transitive
1811	maril	4	Basic	mar	xosil	Regular	C	I-Class	-il	To be extinguished, to be put out, to faint, to be quenched, to swoon away, to die off.	Intransitive
1812	mart͡sel	2		mart͡s	kaɣel	Regular	C	E-Class	-el		Transitive
1813	marmnanal	20		marmna	niharnal	Regular	C	Inchoative	-nal	To become incarnate, to be embodied, to take the human nature.	Intransitive
1814	marmnat͡snel	10	Basic	marmna	modet͡snel	Regular	C	Causative	-t͡snel	To corporify, to embody, to incarnate, to incorporate, to invest with a material body.	Transitive
1815	marmnaworel	2		marmnawor	kaɣel	Regular	C	E-Class	-el	To embody, to corporify, to incarnate, to incorporate.	Transitive
1816	marmril	4	Basic	marmr	xosil	Regular	C	I-Class	-il		Intransitive
1817	marsel	2		mars	kaɣel	Regular	C	E-Class	-el	To digest, to stomach; to concoct.	Transitive
1818	marset͡snel	10	Basic	marse	modet͡snel	Regular	C	Causative	-t͡snel	To make to digest, to cause to digest.	Transitive
1819	mardirosanal	20		mardirosa	niharnal	Regular	C	Inchoative	-nal	To become a martyr.	Intransitive
1820	mardnt͡ʃil	4	Basic	mardnt͡ʃ	xosil	Regular	C	I-Class	-il	To fight, to combat, to dispute, to wrestle, to discuss, to engage in action.	Intransitive
1821	makaril	4	Basic	makar	xosil	Regular	C	I-Class	-il	To combat, to wrestle, to dispute, to contend, to wrangle, to discuss, to contest.	Transitive
1822	maksahanel	2		maksahan	kaɣel	Regular	C	E-Class	-el		Transitive
1823	makrakord͡zel	2		makrakord͡z	kaɣel	Regular	C	E-Class	-el	To purify, to cleanse, to purge, to depurate, to clear, to rid.	Transitive
1824	makrel	2		makr	kaɣel	Regular	C	E-Class	-el	To clean, to cleanse, to clear, to purge, to sanctify, to purify, to refine, to purge, to expiate.	Transitive
1825	mklil	4	Basic	mkl	xosil	Regular	C	I-Class	-il	To mould, to grow mouldy, musty; to mould: to strive, to strain.	Intransitive
1826	mklodil	4	Basic	mklod	xosil	Regular	C	I-Class	-il	To mould, to grow mouldy, musty; to mould: to strive, to strain.	Intransitive
1827	med͡zapanel	2		med͡zapan	kaɣel	Regular	C	E-Class	-el	To boast, to brag, to gasconade, to vaunt, to swagger, to be vainglorious.	Transitive
1828	med͡zamdil	4	Basic	med͡zamd	xosil	Regular	C	I-Class	-il	To grow proud of, to be puffed up, to give oneself airs, to bridle up.	Intransitive
1829	med͡zarel	2		med͡zar	kaɣel	Regular	C	E-Class	-el	To respect, to venerate, to honour, to estimate, to consider.	Transitive
1830	med͡znal	20		med͡z	niharnal	Regular	C	Inchoative	-nal	To grow, to grow big, to increase, to get big, to become rich.	Intransitive
1831	megnapanel	2		megnapan	kaɣel	Regular	C	E-Class	-el	To explain, to interpret, to comment.	Transitive
1832	megnel	2		megn	kaɣel	Regular	C	E-Class	-el	To explain, to interpret, to comment, to expound, to translate, to separate, to detach.	Transitive
1833	megnil	4	Basic	megn	xosil	Regular	C	I-Class	-il	To go away, to separate, to depart, to clear out, to start, to be off, to be detached, to come off, to withdraw, to go away, to remove.	Intransitive
1834	megusat͡snel	10	Basic	megusa	modet͡snel	Regular	C	Causative	-t͡snel	To set aside, to keep away, to isolate, to separate, to place farther off, to open, to hold apart, to disperse, to discard.	Transitive
1835	meɣatrel	2		meɣatr	kaɣel	Regular	C	E-Class	-el	To reproach, to blame, to accuse, to criminate, to find fault with.	Transitive
1836	meɣant͡ʃel	2		meɣant͡ʃ	kaɣel	Regular	C	E-Class	-el	To sin, to commit fault, to trespass, to wrong, to transgress, to offend, to injure.	Intransitive
1837	meɣganal	20		meɣga	niharnal	Regular	C	Inchoative	-nal		Intransitive
1838	meɣmanal	20		meɣma	niharnal	Regular	C	Inchoative	-nal	To become soft, mild, to get milder, temperate, to grow cool, to be assuaged.	Intransitive
1839	meɣmat͡snel	10	Basic	meɣma	modet͡snel	Regular	C	Causative	-t͡snel	To soften, to moderate, to mitigate, to modify, to alleviate, to temper, to sweeten.	Transitive
1840	meɣmel	2		meɣm	kaɣel	Regular	C	E-Class	-el	To sweeten, to coax, to wheedle, to cajole, to fawn; to overcome.	Transitive
1841	meɣknal	20		meɣk	niharnal	Regular	C	Inchoative	-nal	To pity, to compassionate, to commiserate.	Transitive
1842	menaxosel	2		menaxos	kaɣel	Regular	C	E-Class	-el	To soliloquize.	Intransitive
1843	menamardil	4	Basic	menamard	xosil	Regular	C	I-Class	-il	To duel, to fight a duel, to wrestle.	Intransitive
1844	menanal	20		mena	niharnal	Regular	C	Inchoative	-nal	To be isolated, to live lonely.	Intransitive
1845	menerkel	2		menerk	kaɣel	Regular	C	E-Class	-el		Transitive
1846	mernil	14		mer	mernil	Irregular	C		-nil	To die, to expire, to depart, to perish, to decline, to decease, to wither, to wane, to decade, to cease, to fade.	Intransitive
1847	mert͡snel	10	Basic	mer	modet͡snel	Regular	C	Causative	-t͡snel	To kill, to mortify, to cause the death of.	Transitive
1848	merel	2		mer	kaɣel	Regular	C	E-Class	-el		Transitive
1849	merʒel	2		merʒ	kaɣel	Regular	C	E-Class	-el	To refuse, to expel, to reject, to repulse, to cast away, to repudiate, to throw away, to drive back, to reprove, to disallow, to disapprove.	Transitive
1850	merganal	20		merga	niharnal	Regular	C	Inchoative	-nal	To undress, to denude, to strip one's self, to undress oneself, to lay bare, to unveil, to be unveiled.	Intransitive
1851	mergat͡snel	10	Basic	merga	modet͡snel	Regular	C	Causative	-t͡snel	To disrobe, to undress: to divest.	Transitive
1852	mert͡senal	20		mert͡se	niharnal	Regular	C	Inchoative	-nal	To approach, to go near, to come near.	Intransitive
1853	mzel	2		mz	kaɣel	Regular	C	E-Class	-el	To extract; to filter, to strain.	Transitive
1854	mzil	4	Basic	mz	xosil	Regular	C	I-Class	-il	To filter, to be filtered, to percolate.	Intransitive
1855	megdeɣel	2		megdeɣ	kaɣel	Regular	C	E-Class	-el		Transitive
1856	mtaknel	2		mtakn	kaɣel	Regular	C	E-Class	-el	To obscure, to darken, to dim.	Transitive
1857	mtaknil	4	Basic	mtakn	xosil	Regular	C	I-Class	-il	To grow dim, to darken, to become dark.	Intransitive
1858	mterel	2		mter	kaɣel	Regular	C	E-Class	-el	To store, to warehouse, to provision, to put by, to lay in, to lay up.	Transitive
1859	mtnel	2		mtn	kaɣel	Regular	C	E-Class	-el		Intransitive
1860	mtnnal	20		mtn	niharnal	Regular	C	Inchoative	-nal	To become obscure, dark, to grow dim, to darken.	Intransitive
1861	mtnt͡snel	10	Basic	mtn	modet͡snel	Regular	C	Causative	-t͡snel	To obscure, to darken, to dim, to tarnish, to sully.	Transitive
1862	miapanil	4	Basic	miapan	xosil	Regular	C	I-Class	-il	To agree, to accord, to be accordant, to make terms, to concur, to be in good understanding, to suit.	Intransitive
1863	mianal	20		mia	niharnal	Regular	C	Inchoative	-nal	To be joined, incorporated.	Intransitive
1864	miat͡snel	10	Basic	mia	modet͡snel	Regular	C	Causative	-t͡snel	To unite, to joint, to link, to connect, to incorporate.	Transitive
1865	miat͡sulel	2		miat͡sul	kaɣel	Regular	C	E-Class	-el		Transitive
1866	miaworel	2		miawor	kaɣel	Regular	C	E-Class	-el	To unite, to conjoin, to joint, to link, to connect, to incorporate.	Transitive
1867	miaworvil	4	Passive	miawor	zzvil	Regular	C	Passive	-vil		Intransitive
1868	mizel	2		miz	kaɣel	Regular	C	E-Class	-el	To urinate, to piss, to urine.	Intransitive
1869	mit͡ʃatrel	2		mit͡ʃatr	kaɣel	Regular	C	E-Class	-el		Transitive
1870	mit͡ʃamdel	2		mit͡ʃamd	kaɣel	Regular	C	E-Class	-el	To interpose, to intervene, to interfere, to intermeddle, to meddle with, to go in.	Intransitive
1871	mit͡ʃnortel	2		mit͡ʃnort	kaɣel	Regular	C	E-Class	-el	To mediate, to intercede.	Intransitive
1872	midil	4	Basic	mid	xosil	Regular	C	I-Class	-il	To incline, to bend, to bow, to be disposed.	Intransitive
1873	mlawel	2		mlaw	kaɣel	Regular	C	E-Class	-el	To mew (of cats), to caterwaul.	Transitive
1874	mxal	6		mx	gartal	Regular	C	A-Class	-al	To smoke, to emit smoke, to fume.	Intransitive
1875	mxel	2		mx	kaɣel	Regular	C	E-Class	-el	To sink, to drive in, to thrust in, to plunge, to dip, to immerse, to throw, to involve.	Transitive
1876	mxitarel	2		mxitar	kaɣel	Regular	C	E-Class	-el	To comfort, to console, to solace, to recomfort, to fortify, to revive.	Transitive
1877	mxdel	2		mxd	kaɣel	Regular	C	E-Class	-el	To give a push to, to thrust, to drive on.	Intransitive
1878	mxrd͡ʒel	2		mxrd͡ʒ	kaɣel	Regular	C	E-Class	-el		Transitive
1879	mxrd͡ʒvil	4	Passive	mxrd͡ʒ	zzvil	Regular	C	Passive	-vil		Intransitive
1880	mgradel	2		mgrad	kaɣel	Regular	C	E-Class	-el		Transitive
1881	mgrdel	2		mgrd	kaɣel	Regular	C	E-Class	-el	To baptise, to christen, to wash.	Transitive
1882	mgrdvil	4	Passive	mgrd	zzvil	Regular	C	Passive	-vil	To be baptized, to receive baptism.	Intransitive
1883	mɣel	2		mɣ	kaɣel	Regular	C	E-Class	-el	To push, to thrust, to give a push.	Transitive
1884	mɣgdal	6		mɣgd	gartal	Regular	C	A-Class	-al		Intransitive
1885	mɣt͡sgil	4	Basic	mɣt͡sg	xosil	Regular	C	I-Class	-il	To be suffocated, to be choked up.	Intransitive
1886	mnal	55		mn	mnal	Irregular	C		-al	To remain, to be left, to stay, to lodge, to live, to reside, to wait, to hold out.	Intransitive
1887	mnt͡ʃel	2		mnt͡ʃ	kaɣel	Regular	C	E-Class	-el	To groan, to moan, to warble, to coo, to wail, to cry, to sigh after.	Intransitive
1888	mʃagel	2		mʃag	kaɣel	Regular	C	E-Class	-el	To cultivate, to culture, to till, to study, to improve, to exercise, to practice.	Transitive
1889	mʃdel	2		mʃd	kaɣel	Regular	C	E-Class	-el	To give a blow with a fist, to poke; to touch with the finger.	Transitive
1890	mokel	2		mok	kaɣel	Regular	C	E-Class	-el	To enchant, to bewitch.	Transitive
1891	moleknil	4	Basic	molekn	xosil	Regular	C	I-Class	-il	To become furious, fierce; to be enraged, to be mad with rage.	Intransitive
1892	molorel	2		molor	kaɣel	Regular	C	E-Class	-el	To seduce, to mislead, to misguide, to bewilder; to lead astray, to turn away from the right way.	Transitive
1893	moloril	4	Basic	molor	xosil	Regular	C	I-Class	-il	To go astray, to stray, to deviate, to lose one's self, to straggle, to mistake, to fall into error.	Intransitive
1894	molorvil	4	Passive	molor	zzvil	Regular	C	Passive	-vil		Intransitive
1895	moxranal	20		moxra	niharnal	Regular	C	Inchoative	-nal		Intransitive
1896	moxrat͡snel	10	Basic	moxra	modet͡snel	Regular	C	Causative	-t͡snel	To incinerate.	Transitive
1897	mornal	20		mor	niharnal	Regular	C	Inchoative	-nal	To forget, to be forgetful, to be unmindful of.	Transitive
1898	mort͡snel	10	Basic	mor	modet͡snel	Regular	C	Causative	-t͡snel	To cause to forget.	Transitive
1899	mortazerd͡zel	2		mortazerd͡z	kaɣel	Regular	C	E-Class	-el		Transitive
1900	mortel	2		mort	kaɣel	Regular	C	E-Class	-el	To slaughter, to butcher, to slay, to flay, to cut throat, to kill.	Transitive
1901	mormokil	4	Basic	mormok	xosil	Regular	C	I-Class	-il	To feel regret, to suffer sharply, to grieve, to be broken-hearted, very sorry.	Intransitive
1902	mot͡sel	2		mot͡s	kaɣel	Regular	C	E-Class	-el	To throw wide apart, to separate, to remove.	Transitive
1903	mud͡zel	2		mud͡z	kaɣel	Regular	C	E-Class	-el		Transitive
1904	mural	6		mur	gartal	Regular	C	A-Class	-al	To beg, to ask alms, to implore.	Transitive
1905	mrajlil	4	Basic	mrajl	xosil	Regular	C	I-Class	-il		Intransitive
1906	mrtmrtal	6		mrtmrt	gartal	Regular	C	A-Class	-al		Intransitive
1907	mrldal	6		mrld	gartal	Regular	C	A-Class	-al		Intransitive
1908	mrmral	6		mrmr	gartal	Regular	C	A-Class	-al	To grunt, to growl, to grumble.	Transitive
1909	mrnt͡ʃel	2		mrnt͡ʃ	kaɣel	Regular	C	E-Class	-el	To roar, to groan, to murmur.	Intransitive
1910	msil	4	Basic	ms	xosil	Regular	C	I-Class	-il	To feel cold, to catch cold, to freeze, to grow frigid, to suffer cold, to take cold.	Intransitive
1911	msxel	2		msx	kaɣel	Regular	C	E-Class	-el	To spend, to expend, to waste, to consume.	Transitive
1912	mdaperel	38		mdaper	perel	Irregular	C		-el	To think of, to consider, to purpose, to remember, to recollect.	Transitive
1913	mdatrel	2		mdatr	kaɣel	Regular	C	E-Class	-el	To project, to plan, to design, to intend.	Intransitive
1914	mdad͡zel	2		mdad͡z	kaɣel	Regular	C	E-Class	-el	To think, to meditate, to consider, to cogitate, to contemplate; to project.	Intransitive
1915	mdahokel	2		mdahok	kaɣel	Regular	C	E-Class	-el		Transitive
1916	mdahokvil	4	Passive	mdahok	zzvil	Regular	C	Passive	-vil		Intransitive
1917	mdampopvil	4	Passive	mdampop	zzvil	Regular	C	Passive	-vil		Intransitive
1918	mdadant͡ʃel	2		mdadant͡ʃ	kaɣel	Regular	C	E-Class	-el		Transitive
1919	mdadant͡ʃvil	4	Passive	mdadant͡ʃ	zzvil	Regular	C	Passive	-vil		Intransitive
1920	mdermanal	20		mderma	niharnal	Regular	C	Inchoative	-nal	To become intimate, familiarized, to have an affection for, to be attached.	Intransitive
1921	mdmdal	6		mdmd	gartal	Regular	C	A-Class	-al	To reflect.	Intransitive
1922	mdnal	24	Theme -a-	md	kdnal	Irregular	C		-nal	To enter, to get in, to penetrate, to go through.	Intransitive
1923	mdnel	24	Theme -e-	md	kdnel	Irregular	C		-nel	To enter, to get in, to penetrate, to go through.	Intransitive
1924	mdragel	2		mdrag	kaɣel	Regular	C	E-Class	-el	To whip, to lash.	Transitive
1925	mdragvil	4	Passive	mdrag	zzvil	Regular	C	Passive	-vil		Intransitive
1926	mrapel	2		mrap	kaɣel	Regular	C	E-Class	-el	To slumber, to doze, to nap, to snooze, to take a nap.	Intransitive
1927	mrtmrtal	6		mrtmrt	gartal	Regular	C	A-Class	-al	To purr.	Transitive
1928	mrgel	2		mrg	kaɣel	Regular	C	E-Class	-el	To burn, to parch, to scorch, to roast.	Transitive
1929	mrd͡ʒaharel	2		mrd͡ʒahar	kaɣel	Regular	C	E-Class	-el	To hammer; to torment.	Transitive
1930	mrd͡ʒodel	2		mrd͡ʒod	kaɣel	Regular	C	E-Class	-el	To smoke, to blacken with smoke.	Transitive
1931	mrmnt͡ʃel	2		mrmnt͡ʃ	kaɣel	Regular	C	E-Class	-el	To murmur, to mumble, to grumble, to hum.	Transitive
1932	mrodel	2		mrod	kaɣel	Regular	C	E-Class	-el	To smut, to smutch, to smoke, to blacken with soot.	Transitive
1933	mrodvil	4	Passive	mrod	zzvil	Regular	C	Passive	-vil		Intransitive
1934	mrrgil	4	Basic	mrrg	xosil	Regular	C	I-Class	-il		Intransitive
1935	mrt͡sagt͡sil	4	Basic	mrt͡sagt͡s	xosil	Regular	C	I-Class	-il	To compete, to rival, to vie.	Intransitive
1936	mrt͡sil	4	Basic	mrt͡s	xosil	Regular	C	I-Class	-il	To compete, to combat, to rival, to strive with, to emulate.	Intransitive
1937	mklil	4	Basic	mkl	xosil	Regular	C	I-Class	-il	To grow musty, to grow mouldy.	Intransitive
1938	mklodil	4	Basic	mklod	xosil	Regular	C	I-Class	-il		Intransitive
1939	modenal	20		mode	niharnal	Regular	C	Inchoative	-nal	To approach, to go near, to come near.	Intransitive
1940	modet͡snel	10	Basic	mode	modet͡snel	Regular	C	Causative	-t͡snel	To approach, to bring, to near, to draw near.	Transitive
1941	modil	4	Basic	mod	xosil	Regular	C	I-Class	-il	To approach, to go near, to come near.	Intransitive
1942	jakenal	20		jake	niharnal	Regular	C	Inchoative	-nal	To be satiated, to sate one's self.	Intransitive
1943	jaket͡snel	10	Basic	jake	modet͡snel	Regular	C	Causative	-t͡snel	To sate, to satiate, to cloy, to surfeit.	Transitive
1944	jad͡zil	4	Basic	jad͡z	xosil	Regular	C	I-Class	-il	To go over, to roam, to rove, to stroll, to ramble, to wander, to promenade.	Intransitive
1945	jaɣtaharel	2		jaɣtahar	kaɣel	Regular	C	E-Class	-el	To overcome, to vanquish, to subdue, to conquer, to beat, to knock down, to throw to the ground.	Transitive
1946	jaɣtaharvil	4	Passive	jaɣtahar	zzvil	Regular	C	Passive	-vil		Intransitive
1947	jaɣtanagel	2		jaɣtanag	kaɣel	Regular	C	E-Class	-el	To triumph, to win the victory, to have the advantage, to surpass, to preponderate.	Transitive
1948	jaɣtel	2		jaɣt	kaɣel	Regular	C	E-Class	-el	To overcome, to vanquish, to conquer, to excel, to subdue, to subjugate, to surpass.	Transitive
1949	jad͡ʒaxel	2		jad͡ʒax	kaɣel	Regular	C	E-Class	-el	To frequent, to resort to, to haunt, to do often, to visit often, to redouble, to augment.	Transitive
1950	jamaril	4	Basic	jamar	xosil	Regular	C	I-Class	-il	To become stubborn, to be obstinate, to stand to.	Intransitive
1951	jamenal	20		jame	niharnal	Regular	C	Inchoative	-nal	To delay, to retard, to defer, to put off, to wait for, to stay for.	Intransitive
1952	jamranal	20		jamra	niharnal	Regular	C	Inchoative	-nal	To slacken pace, to relax, to diminish.	Intransitive
1953	jajdararel	2		jajdarar	kaɣel	Regular	C	E-Class	-el	To declare.	Transitive
1954	jajdnaperel	38		jajdnaper	perel	Irregular	C		-el		Transitive
1955	jajdnel	2		jajdn	kaɣel	Regular	C	E-Class	-el	To reveal, to declare, to manifest, to expose, to express, to explain, to notify, to signify, to make evident.	Transitive
1956	janket͡snel	10	Basic	janke	modet͡snel	Regular	C	Causative	-t͡snel	To finish, to terminate, to rhyme, to complete, to end.	Transitive
1957	jankil	4	Basic	jank	xosil	Regular	C	I-Class	-il	To end, to come to an end, to terminate, to finish.	Intransitive
1958	jantknil	14		jantk	mernil	Irregular	C		-nil	To dare, to venture, to adventure, to be bold enough.	Transitive
1959	jantimanel	2		jantiman	kaɣel	Regular	C	E-Class	-el	To scold, to chide, to reprimand, to reproach.	Transitive
1960	jant͡sant͡sel	2		jant͡sant͡s	kaɣel	Regular	C	E-Class	-el	To look after, to take care of, to attend, to be careful of.	Transitive
1961	jant͡snararel	2		jant͡snarar	kaɣel	Regular	C	E-Class	-el	To commend, to recommend, to commission, to commit.	Transitive
1962	jant͡snararvil	4	Passive	jant͡snarar	zzvil	Regular	C	Passive	-vil		Intransitive
1963	jant͡snel	2		jant͡sn	kaɣel	Regular	C	E-Class	-el	To command, to order, to surrender, to confide, to intrust, to remit, to deliver.	Transitive
1964	jant͡snvil	4	Passive	jant͡sn	zzvil	Regular	C	Passive	-vil	To surrender, to deliver one's self up, to confide.	Intransitive
1965	jaʃtvil	4	Passive	jaʃt	zzvil	Regular	C	Passive	-vil		Intransitive
1966	jat͡ʃaɣel	2		jat͡ʃaɣ	kaɣel	Regular	C	E-Class	-el	To be jealous of, to envy.	Transitive
1967	jabaɣil	4	Basic	jabaɣ	xosil	Regular	C	I-Class	-il	To delay, to be late, to be long, to temporize.	Intransitive
1968	jabawel	2		jabaw	kaɣel	Regular	C	E-Class	-el	To castrate, to mutilate, to prune, to retrench, to curtail, to take off, to cut off, to abridge.	Transitive
1969	jat͡ʃoɣil	4	Basic	jat͡ʃoɣ	xosil	Regular	C	I-Class	-il	To succeed, to prosper, to have success, to be successful.	Intransitive
1970	jat͡ʃoɣt͡snel	10	Basic	jat͡ʃoɣ	modet͡snel	Regular	C	Causative	-t͡snel		Transitive
1971	jat͡ʃortel	2		jat͡ʃort	kaɣel	Regular	C	E-Class	-el	To succeed, to follow.	Intransitive
1972	jarat͡ʃanal	20		jarat͡ʃa	niharnal	Regular	C	Inchoative	-nal	To advance, to proceed, to go forward, to get along.	Intransitive
1973	jarat͡ʃtimel	2		jarat͡ʃtim	kaɣel	Regular	C	E-Class	-el	To precede, to forego, to advance, to get before, to march on, to proceed.	Intransitive
1974	jarel	2		jar	kaɣel	Regular	C	E-Class	-el	To fasten, to fix, to attach, to push in.	Transitive
1975	jarnel	2		jarn	kaɣel	Regular	C	E-Class	-el	To ascend, to rise, to arise, to mount, to get up, to rise from the dead.	Intransitive
1976	jadganʃel	2		jadganʃ	kaɣel	Regular	C	E-Class	-el		Transitive
1977	jadgat͡snel	10	Basic	jadga	modet͡snel	Regular	C	Causative	-t͡snel	To appropriate, to adapt, to fit.	Transitive
1978	jaraperil	4	Basic	jaraper	xosil	Regular	C	I-Class	-il		Intransitive
1979	jaratrel	2		jaratr	kaɣel	Regular	C	E-Class	-el	To apply, to stick, to insert, to affix.	Transitive
1980	jaragt͡sel	2		jaragt͡s	kaɣel	Regular	C	E-Class	-el		Transitive
1981	jaragt͡sil	4	Basic	jaragt͡s	xosil	Regular	C	I-Class	-il	to conjoin, to unite together.	Transitive
1982	jarasel	2		jaras	kaɣel	Regular	C	E-Class	-el	To paraphrase.	Transitive
1983	jaradewel	2		jaradew	kaɣel	Regular	C	E-Class	-el	To persevere, to be steadfast, to persist, to stand to.	Intransitive
1984	jarkel	2		jark	kaɣel	Regular	C	E-Class	-el	To venerate, to respect, to honour, to appreciate, to estimate.	Intransitive
1985	jartarel	2		jartar	kaɣel	Regular	C	E-Class	-el	To fit up, to put, to set in order, to arrange, to adjust, to prepare, to make up, to fashion, to adorn, to dispose, to accommodate, to accord.	Transitive
1986	jarel	2		jar	kaɣel	Regular	C	E-Class	-el	To attach, to join, to adjoin, to fix together, to connect.	Transitive
1987	jaril	4	Basic	jar	xosil	Regular	C	I-Class	-il	To attach, to hold to, to fasten on, to be joined, to adhere, to be fixed, to have an affection for, to interest oneself in.	Intransitive
1988	jart͡sagil	4	Basic	jart͡sag	xosil	Regular	C	I-Class	-il	To assault, to assail, to attack, to come upon, to rush, to fall upon, to give battle.	Intransitive
1989	jarmaril	4	Basic	jarmar	xosil	Regular	C	I-Class	-il	To agree, to suit, to fit, to match, to be suitable, to be proper for, to conform one's self.	Intransitive
1990	jarut͡sanel	12		jarut͡s	d͡zanut͡sanel	Archaic	C		-anel	To resuscitate, to raise from the dead, to restore to life.	Transitive
1991	jawagnil	14		jawag	mernil	Irregular	C		-nil	To dare, to pretend, to claim, to assume.	Intransitive
1992	jawerʒanal	20		jawerʒa	niharnal	Regular	C	Inchoative	-nal	To last forever.	Intransitive
1993	jawerʒat͡snel	10	Basic	jawerʒa	modet͡snel	Regular	C	Causative	-t͡snel	To eternize, to perpetuate, to immortalize.	Transitive
1994	japapel	2		japap	kaɣel	Regular	C	E-Class	-el		Transitive
1995	japʃdagel	2		japʃdag	kaɣel	Regular	C	E-Class	-el	To seize, to ravish, to snatch, to accroach, to plunder, to carry off by force, to bear off, to usurp, to rob, to pillage.	Transitive
1996	japranal	20		japra	niharnal	Regular	C	Inchoative	-nal	To glut, to satiate one's self, to be cloyed, get tired of.	Intransitive
1997	jeɣaʃrt͡ʃel	2		jeɣaʃrt͡ʃ	kaɣel	Regular	C	E-Class	-el	To intervert, to upset, to subvert, to revolution, to overthrow.	Transitive
1998	jeɣapoxel	2		jeɣapox	kaɣel	Regular	C	E-Class	-el	To revolutionize, to transform, to change, to subvert, to upset, to unsettle.	Transitive
1999	jeɣjeɣel	2		jeɣjeɣ	kaɣel	Regular	C	E-Class	-el	To repeat over and over, to pass again, to change.	Transitive
2000	jeɣul	8		jeɣ	toɣul	Archaic	C		-ul 	To change, to transform, to translate, to interpret.	Transitive
2001	jenil	4	Basic	jen	xosil	Regular	C	I-Class	-il		Intransitive
2002	jenul	22		je	zposnul	Archaic	C		-nul	To lean upon, to rest, to rely upon.	Intransitive
2003	jerul	8		jer	toɣul	Archaic	C		-ul 	To enchase, to mount, to insert, to joint, to fit in, to set, to clamp.	Transitive
2004	jesanel	2		jesan	kaɣel	Regular	C	E-Class	-el	To hone, to sharpen, to whet, to point, to set an edge on.	Transitive
2005	jedatasel	2		jedatas	kaɣel	Regular	C	E-Class	-el		Transitive
2006	jedatimel	2		jedatim	kaɣel	Regular	C	E-Class	-el	To retrocede, to retrograde, to go backward, to go back.	Intransitive
2007	jedat͡skel	2		jedat͡sk	kaɣel	Regular	C	E-Class	-el	To postpone.	Transitive
2008	jeriwrel	2		jeriwr	kaɣel	Regular	C	E-Class	-el	To form, to compose, to make up, to forge, to fabricate, to contrive, to coin.	Transitive
2009	jimaranal	20		jimara	niharnal	Regular	C	Inchoative	-nal	To become foolish, to be mad, to play the fool.	Intransitive
2010	jiʃadagel	2		jiʃadag	kaɣel	Regular	C	E-Class	-el	To mention, to remember, to memorize, to make mention of, to commemorate, to name, to put in mind.	Transitive
2011	jiʃel	2		jiʃ	kaɣel	Regular	C	E-Class	-el	To remember, to call to mind, to remind, to recollect.	Intransitive
2012	jiʃet͡snel	10	Basic	jiʃe	modet͡snel	Regular	C	Causative	-t͡snel	To recall to mind, to make to remember, to put in mind, to warn to admonish, to remind.	Transitive
2013	jɣanal	20		jɣa	niharnal	Regular	C	Inchoative	-nal	To conceive, to become pregnant, to be with child, to be in the family way.	Intransitive
2014	jɣel	2		jɣ	kaɣel	Regular	C	E-Class	-el	To send, to forward, to dispatch, to expedite, to address.	Transitive
2015	jɣianal	20		jɣia	niharnal	Regular	C	Inchoative	-nal		Intransitive
2016	jɣgel	2		jɣg	kaɣel	Regular	C	E-Class	-el	To polish, to smooth, to gloss, to plane, to file, to burnish, to rough-hew.	Transitive
